,MODE,VEC_SIZE,TIME_MS
0,BLOCK16,10,4.2000000000000004e-05
1,BLOCK16,15,4.4e-05
2,BLOCK16,20,4.02e-05
3,BLOCK16,25,3.2000000000000005e-05
4,BLOCK16,30,3.8e-05
5,BLOCK16,35,4e-05
6,BLOCK16,40,3.84e-05
7,BLOCK16,45,4e-05
8,BLOCK16,50,5.22e-05
9,BLOCK16,55,4.8e-05
10,BLOCK16,60,4.6e-05
11,BLOCK16,65,4.82e-05
12,BLOCK16,70,5.2000000000000004e-05
13,BLOCK16,75,4.8e-05
14,BLOCK16,80,4.8e-05
15,BLOCK16,85,6.22e-05
16,BLOCK16,90,5e-05
17,BLOCK16,95,5e-05
18,BLOCK16,100,6.000000000000001e-05
19,BLOCK16,105,5.2000000000000004e-05
20,BLOCK16,110,5.6000000000000006e-05
21,BLOCK16,115,6.2e-05
22,BLOCK16,120,6.199999999999999e-05
23,BLOCK16,125,5.599999999999999e-05
24,BLOCK16,131,7.219999999999999e-05
25,BLOCK16,137,6.02e-05
26,BLOCK16,143,5.4e-05
27,BLOCK16,150,6.22e-05
28,BLOCK16,157,5.599999999999999e-05
29,BLOCK16,164,6.6e-05
30,BLOCK16,172,6.400000000000001e-05
31,BLOCK16,180,6.6e-05
32,BLOCK16,188,5.42e-05
33,BLOCK16,197,5.8e-05
34,BLOCK16,206,5.599999999999999e-05
35,BLOCK16,216,5.2000000000000004e-05
36,BLOCK16,226,6.2e-05
37,BLOCK16,237,6.6e-05
38,BLOCK16,248,6.6e-05
39,BLOCK16,260,5.62e-05
40,BLOCK16,272,5.2000000000000004e-05
41,BLOCK16,285,5.6000000000000006e-05
42,BLOCK16,299,5.42e-05
43,BLOCK16,313,6.6e-05
44,BLOCK16,328,5.8e-05
45,BLOCK16,344,6.000000000000001e-05
46,BLOCK16,361,6.2e-05
47,BLOCK16,379,6.42e-05
48,BLOCK16,397,6.2e-05
49,BLOCK16,416,5.42e-05
50,BLOCK16,436,6.000000000000001e-05
51,BLOCK16,457,6.02e-05
52,BLOCK16,479,5.9999999999999995e-05
53,BLOCK16,502,6.64e-05
54,BLOCK16,527,5.9999999999999995e-05
55,BLOCK16,553,5.9999999999999995e-05
56,BLOCK16,580,7.6e-05
57,BLOCK16,609,6.8e-05
58,BLOCK16,639,6.86e-05
59,BLOCK16,670,7.02e-05
60,BLOCK16,703,6.6e-05
61,BLOCK16,738,7.82e-05
62,BLOCK16,774,7.22e-05
63,BLOCK16,812,7.02e-05
64,BLOCK16,852,6.8e-05
65,BLOCK16,894,7.02e-05
66,BLOCK16,938,7.42e-05
67,BLOCK16,984,7.6e-05
68,BLOCK16,1033,8.6e-05
69,BLOCK16,1084,9.02e-05
70,BLOCK16,1138,8.22e-05
71,BLOCK16,1194,8.200000000000001e-05
72,BLOCK16,1253,9.2e-05
73,BLOCK16,1315,9.02e-05
74,BLOCK16,1380,0.0001082
75,BLOCK16,1448,0.00010020000000000001
76,BLOCK16,1520,0.0001026
77,BLOCK16,1596,0.00012000000000000002
78,BLOCK16,1675,0.00010040000000000001
79,BLOCK16,1758,0.00011
80,BLOCK16,1845,0.0001042
81,BLOCK16,1937,0.00011200000000000001
82,BLOCK16,2033,0.0001282
83,BLOCK16,2134,0.0001242
84,BLOCK16,2240,0.00012639999999999998
85,BLOCK16,2351,0.00013680000000000002
86,BLOCK16,2468,0.0001402
87,BLOCK16,2591,0.0001422
88,BLOCK16,2720,0.0001542
89,BLOCK16,2856,0.000158
90,BLOCK16,2998,0.0001506
91,BLOCK16,3147,0.00018640000000000003
92,BLOCK16,3304,0.00016
93,BLOCK16,3469,0.000194
94,BLOCK16,3642,0.0001822
95,BLOCK16,3824,0.0001888
96,BLOCK16,4015,0.0002248
97,BLOCK16,4215,0.00020639999999999998
98,BLOCK16,4425,0.00021020000000000001
99,BLOCK16,4646,0.000215
100,BLOCK16,4878,0.0002306
101,BLOCK16,5121,0.0002646
102,BLOCK16,5377,0.0002526
103,BLOCK16,5645,0.0002584
104,BLOCK16,5927,0.0002726
105,BLOCK16,6223,0.0002726
106,BLOCK16,6534,0.00032260000000000004
107,BLOCK16,6860,0.0002924
108,BLOCK16,7202,0.0003204
109,BLOCK16,7562,0.0003566
110,BLOCK16,7940,0.0003506
111,BLOCK16,8337,0.0003688
112,BLOCK16,8753,0.000401
113,BLOCK16,9190,0.0004208
114,BLOCK16,9649,0.00041660000000000004
115,BLOCK16,10131,0.0004382
116,BLOCK16,10637,0.00048120000000000004
117,BLOCK16,11168,0.00047080000000000006
118,BLOCK16,11726,0.000543
119,BLOCK16,12312,0.0005472000000000001
120,BLOCK16,12927,0.000609
121,BLOCK16,13573,0.0005549999999999999
122,BLOCK16,14251,0.0006512
123,BLOCK16,14963,0.0006793999999999999
124,BLOCK16,15711,0.0007414
125,BLOCK16,16496,0.0007172
126,BLOCK16,17320,0.0006772
127,BLOCK16,18186,0.0007811999999999999
128,BLOCK16,19095,0.0007436
129,BLOCK16,20049,0.0008213999999999999
130,BLOCK16,21051,0.0008175999999999999
131,BLOCK16,22103,0.0009316
132,BLOCK16,23208,0.001026
133,BLOCK16,24368,0.0009780000000000001
134,BLOCK16,25586,0.0010862
135,BLOCK16,26865,0.0012368000000000001
136,BLOCK16,28208,0.0011264
137,BLOCK16,29618,0.0012422
138,BLOCK16,31098,0.0012424
139,BLOCK16,32652,0.0013024
140,BLOCK16,34284,0.0013002
141,BLOCK16,35998,0.0015712
142,BLOCK16,37797,0.0016468
143,BLOCK16,39686,0.0017272
144,BLOCK16,41670,0.0018156
145,BLOCK16,43753,0.0018896
146,BLOCK16,45940,0.0018092
147,BLOCK16,48236,0.00199
148,BLOCK16,50647,0.0019916
149,BLOCK16,53179,0.0023084
150,BLOCK16,55837,0.0023024
151,BLOCK16,58628,0.0023422
152,BLOCK16,61559,0.002583
153,BLOCK16,64636,0.0025588
154,BLOCK16,67867,0.002531
155,BLOCK16,71260,0.0030736
156,BLOCK16,74822,0.0032042
157,BLOCK16,78563,0.003218
158,BLOCK16,82491,0.0032242
159,BLOCK16,86615,0.0033
160,BLOCK16,90945,0.004051600000000001
161,BLOCK16,95492,0.0036288
162,BLOCK16,100266,0.0037792
163,BLOCK16,105279,0.0041154
164,BLOCK16,110542,0.0044288
165,BLOCK16,116069,0.004853
166,BLOCK16,121872,0.0048174
167,BLOCK16,127965,0.0053082
168,BLOCK16,134363,0.0053863999999999995
169,BLOCK16,141081,0.005865
170,BLOCK16,148135,0.0057832000000000005
171,BLOCK16,155541,0.0069072
172,BLOCK16,163318,0.0067852
173,BLOCK16,171483,0.006451999999999999
174,BLOCK16,180057,0.007474400000000001
175,BLOCK16,189059,0.0070634
176,BLOCK16,198511,0.00852
177,BLOCK16,208436,0.009051
178,BLOCK16,218857,0.0097384
179,BLOCK16,229799,0.009490000000000002
180,BLOCK16,241288,0.0110426
181,BLOCK16,253352,0.0104416
182,BLOCK16,266019,0.0107946
183,BLOCK16,279319,0.0122272
184,BLOCK16,293284,0.0128724
185,BLOCK16,307948,0.0129822
186,BLOCK16,323345,0.016720000000000002
187,BLOCK16,339512,0.012868399999999999
188,BLOCK16,356487,0.020238600000000002
189,BLOCK16,374311,0.0186032
190,BLOCK16,393026,0.0183188
191,BLOCK16,412677,0.0169802
192,BLOCK16,433310,0.0177418
193,BLOCK16,454975,0.0205568
194,BLOCK16,477723,0.022172400000000002
195,BLOCK16,501609,0.0215488
196,BLOCK16,526689,0.031000800000000002
197,BLOCK16,553023,0.024490400000000002
198,BLOCK16,580674,0.0254602
199,BLOCK16,609707,0.02632
200,BLOCK16,640192,0.025821
201,BLOCK16,672201,0.0291972
202,BLOCK16,705811,0.029365799999999997
203,BLOCK16,741101,0.0330104
204,BLOCK16,778156,0.0376456
205,BLOCK16,817063,0.0393624
206,BLOCK16,857916,0.0370864
207,BLOCK16,900811,0.0410376
208,BLOCK16,945851,0.0393986
209,BLOCK16,993143,0.056202600000000005
210,BLOCK16,1042800,0.0467864
211,BLOCK16,1094940,0.0438032
212,BLOCK16,1149687,0.060316400000000006
213,BLOCK16,1207171,0.05761959999999999
214,BLOCK16,1267529,0.0511592
215,BLOCK16,1330905,0.0621614
216,BLOCK16,1397450,0.07702
217,BLOCK16,1467322,0.06721540000000001
218,BLOCK16,1540688,0.06904479999999999
219,BLOCK16,1617722,0.078238
220,BLOCK16,1698608,0.073519
221,BLOCK16,1783538,0.0782304
222,BLOCK16,1872714,0.08143
223,BLOCK16,1966349,0.085614
224,BLOCK16,2064666,0.0953948
225,BLOCK16,2167899,0.0873516
226,BLOCK16,2276293,0.1007428
227,BLOCK16,2390107,0.1365828
228,BLOCK16,2509612,0.1161422
229,BLOCK16,2635092,0.1272954
230,BLOCK16,2766846,0.14250020000000002
231,BLOCK16,2905188,0.16983379999999998
232,BLOCK16,3050447,0.16007339999999998
233,BLOCK16,3202969,0.1649946
234,BLOCK16,3363117,0.1607286
235,BLOCK16,3531272,0.18916439999999998
236,BLOCK16,3707835,0.22304859999999999
237,BLOCK16,3893226,0.21381679999999997
238,BLOCK16,4087887,0.2504444
239,BLOCK16,4292281,0.276394
240,BLOCK16,4506895,0.2635858
241,BLOCK16,4732239,0.2763416
242,BLOCK16,4968850,0.268437
243,BLOCK16,5217292,0.3110632
244,BLOCK16,5478156,0.347166
245,BLOCK16,5752063,0.413267
246,BLOCK16,6039666,0.3968664
247,BLOCK16,6341649,0.44784880000000005
248,BLOCK16,6658731,0.5405926
249,BLOCK16,6991667,0.5859762
250,BLOCK16,7341250,0.5648704
251,BLOCK16,7708312,0.6224556
252,BLOCK16,8093727,0.6791814
253,BLOCK16,8498413,0.7196078
254,BLOCK16,8923333,0.7719008
255,BLOCK16,9369499,0.8306822
256,BLOCK16,9837973,0.8390096
257,BLOCK16,10329871,1.0234456
258,BLOCK16,10846364,0.9567893999999999
259,BLOCK16,11388682,0.9558052
260,BLOCK16,11958116,1.1717886
261,BLOCK16,12556021,1.2054798
262,BLOCK16,13183822,1.3088962
263,BLOCK16,13843013,1.2845882
264,BLOCK16,14535163,1.5033096000000001
265,BLOCK16,15261921,1.6101155999999999
266,BLOCK16,16025017,1.5894688000000001
267,BLOCK16,16826267,1.6974177999999998
268,BLOCK16,17667580,1.8597268
269,BLOCK16,18550958,2.034426
270,BLOCK16,19478505,2.0623086
271,BLOCK16,20452430,2.0281938
272,BLOCK16,21475051,2.2032398
273,BLOCK16,22548803,2.3552698
274,BLOCK16,23676243,2.3222188
275,BLOCK16,24860055,2.5327352
276,BLOCK16,26103057,2.7286886
277,BLOCK16,27408209,2.8069588
278,BLOCK16,28778619,3.0051318
279,BLOCK16,30217549,3.0552432
280,BLOCK16,31728426,3.158652
281,BLOCK16,33314847,3.2278627999999996
282,BLOCK16,34980589,3.5181018
283,BLOCK16,36729618,3.5433044000000002
284,BLOCK16,38566098,3.8406295999999998
285,BLOCK16,40494402,3.9208008
286,BLOCK16,42519122,4.2196354
287,BLOCK16,44645078,4.2953658
288,BLOCK16,46877331,4.421046
289,BLOCK16,49221197,4.585761
290,BLOCK16,51682256,4.7784835999999995
291,BLOCK16,54266368,5.1164912000000005
292,BLOCK16,56979686,5.248674599999999
293,BLOCK16,59828670,5.3198786
294,BLOCK16,62820103,5.5984946
295,BLOCK16,65961108,6.3182778
296,BLOCK16,69259163,6.4516424
297,BLOCK16,72722121,6.793121600000001
298,BLOCK16,76358227,6.879703600000001
299,BLOCK16,80176138,7.2552548
300,BLOCK16,84184944,7.406781
301,BLOCK16,88394191,7.8120588
302,BLOCK16,92813900,8.2499538
303,BLOCK16,97454594,8.6571624
304,BLOCK2,10,4.24e-05
305,BLOCK2,15,8.620000000000001e-05
306,BLOCK2,20,7.620000000000001e-05
307,BLOCK2,25,9.6e-05
308,BLOCK2,30,8.04e-05
309,BLOCK2,35,3.0000000000000004e-05
310,BLOCK2,40,3.8e-05
311,BLOCK2,45,3.4e-05
312,BLOCK2,50,3.4e-05
313,BLOCK2,55,6.02e-05
314,BLOCK2,60,5.2400000000000007e-05
315,BLOCK2,65,5.2400000000000007e-05
316,BLOCK2,70,5.020000000000001e-05
317,BLOCK2,75,6.0400000000000004e-05
318,BLOCK2,80,5.8e-05
319,BLOCK2,85,5.4e-05
320,BLOCK2,90,5.4e-05
321,BLOCK2,95,6.2e-05
322,BLOCK2,100,5.6000000000000006e-05
323,BLOCK2,105,7.6e-05
324,BLOCK2,110,4.6e-05
325,BLOCK2,115,5.8e-05
326,BLOCK2,120,6.6e-05
327,BLOCK2,125,8.24e-05
328,BLOCK2,131,7.620000000000001e-05
329,BLOCK2,137,7.219999999999999e-05
330,BLOCK2,143,8.6e-05
331,BLOCK2,150,5.9999999999999995e-05
332,BLOCK2,157,6.42e-05
333,BLOCK2,164,7.2e-05
334,BLOCK2,172,9.42e-05
335,BLOCK2,180,7.4e-05
336,BLOCK2,188,9.22e-05
337,BLOCK2,197,9.240000000000001e-05
338,BLOCK2,206,7.4e-05
339,BLOCK2,216,0.0001062
340,BLOCK2,226,0.0001362
341,BLOCK2,237,8.620000000000001e-05
342,BLOCK2,248,0.00011200000000000001
343,BLOCK2,260,0.00010020000000000001
344,BLOCK2,272,0.0001042
345,BLOCK2,285,0.00011820000000000001
346,BLOCK2,299,0.00010400000000000001
347,BLOCK2,313,0.0001222
348,BLOCK2,328,0.00011839999999999999
349,BLOCK2,344,0.000126
350,BLOCK2,361,0.0001366
351,BLOCK2,379,0.000132
352,BLOCK2,397,0.00016020000000000002
353,BLOCK2,416,0.00017
354,BLOCK2,436,0.0001762
355,BLOCK2,457,0.0001542
356,BLOCK2,479,0.0001722
357,BLOCK2,502,0.0001922
358,BLOCK2,527,0.0001922
359,BLOCK2,553,0.00019060000000000003
360,BLOCK2,580,0.00022260000000000002
361,BLOCK2,609,0.00020040000000000002
362,BLOCK2,639,0.00023040000000000002
363,BLOCK2,670,0.0002284
364,BLOCK2,703,0.0002408
365,BLOCK2,738,0.0002686
366,BLOCK2,774,0.0002808
367,BLOCK2,812,0.00028879999999999997
368,BLOCK2,852,0.0002948
369,BLOCK2,894,0.0003004
370,BLOCK2,938,0.00034480000000000003
371,BLOCK2,984,0.0003004
372,BLOCK2,1033,0.0003608
373,BLOCK2,1084,0.0003524
374,BLOCK2,1138,0.0003644
375,BLOCK2,1194,0.0004364
376,BLOCK2,1253,0.00043040000000000005
377,BLOCK2,1315,0.00041480000000000005
378,BLOCK2,1380,0.0005092
379,BLOCK2,1448,0.0005234
380,BLOCK2,1520,0.0005250000000000001
381,BLOCK2,1596,0.000577
382,BLOCK2,1675,0.000531
383,BLOCK2,1758,0.000529
384,BLOCK2,1845,0.0006736
385,BLOCK2,1937,0.0006414
386,BLOCK2,2033,0.000633
387,BLOCK2,2134,0.0006914
388,BLOCK2,2240,0.0007574
389,BLOCK2,2351,0.0007154
390,BLOCK2,2468,0.0007733999999999999
391,BLOCK2,2591,0.0008458000000000001
392,BLOCK2,2720,0.000946
393,BLOCK2,2856,0.0009358
394,BLOCK2,2998,0.0010358
395,BLOCK2,3147,0.0010922
396,BLOCK2,3304,0.0011466
397,BLOCK2,3469,0.0010259999999999998
398,BLOCK2,3642,0.0010780000000000002
399,BLOCK2,3824,0.0013566
400,BLOCK2,4015,0.0013166
401,BLOCK2,4215,0.0013063999999999999
402,BLOCK2,4425,0.0015907999999999999
403,BLOCK2,4646,0.0014487999999999999
404,BLOCK2,4878,0.0015228
405,BLOCK2,5121,0.001663
406,BLOCK2,5377,0.0016771999999999998
407,BLOCK2,5645,0.0081454
408,BLOCK2,5927,0.0019356000000000002
409,BLOCK2,6223,0.0019378
410,BLOCK2,6534,0.0021298000000000003
411,BLOCK2,6860,0.002104
412,BLOCK2,7202,0.0024486
413,BLOCK2,7562,0.0024526
414,BLOCK2,7940,0.0026968
415,BLOCK2,8337,0.002709
416,BLOCK2,8753,0.0029616
417,BLOCK2,9190,0.0033844
418,BLOCK2,9649,0.0029758
419,BLOCK2,10131,0.0031358
420,BLOCK2,10637,0.0034766
421,BLOCK2,11168,0.003673
422,BLOCK2,11726,0.0039576
423,BLOCK2,12312,0.0036148
424,BLOCK2,12927,0.00418
425,BLOCK2,13573,0.0041942
426,BLOCK2,14251,0.0046428
427,BLOCK2,14963,0.0048408
428,BLOCK2,15711,0.0048414
429,BLOCK2,16496,0.0053358
430,BLOCK2,17320,0.0053362
431,BLOCK2,18186,0.0056004
432,BLOCK2,19095,0.005945000000000001
433,BLOCK2,20049,0.006314
434,BLOCK2,21051,0.0074422
435,BLOCK2,22103,0.0074481999999999994
436,BLOCK2,23208,0.0071416000000000006
437,BLOCK2,24368,0.0074864
438,BLOCK2,25586,0.007520399999999999
439,BLOCK2,26865,0.0083538
440,BLOCK2,28208,0.0091112
441,BLOCK2,29618,0.0099668
442,BLOCK2,31098,0.0095642
443,BLOCK2,32652,0.0109928
444,BLOCK2,34284,0.011542
445,BLOCK2,35998,0.010553799999999999
446,BLOCK2,37797,0.011616
447,BLOCK2,39686,0.011640000000000001
448,BLOCK2,41670,0.013483600000000002
449,BLOCK2,43753,0.014968
450,BLOCK2,45940,0.014152599999999998
451,BLOCK2,48236,0.016932
452,BLOCK2,50647,0.0170322
453,BLOCK2,53179,0.0172846
454,BLOCK2,55837,0.0195912
455,BLOCK2,58628,0.0181742
456,BLOCK2,61559,0.019076
457,BLOCK2,64636,0.019895799999999998
458,BLOCK2,67867,0.0219998
459,BLOCK2,71260,0.024294
460,BLOCK2,74822,0.023224
461,BLOCK2,78563,0.0254502
462,BLOCK2,82491,0.025373800000000002
463,BLOCK2,86615,0.0278686
464,BLOCK2,90945,0.0344294
465,BLOCK2,95492,0.030924600000000003
466,BLOCK2,100266,0.033776
467,BLOCK2,105279,0.035389199999999996
468,BLOCK2,110542,0.035643400000000006
469,BLOCK2,116069,0.035627599999999995
470,BLOCK2,121872,0.0441778
471,BLOCK2,127965,0.0373948
472,BLOCK2,134363,0.0434282
473,BLOCK2,141081,0.0453422
474,BLOCK2,148135,0.045456199999999995
475,BLOCK2,155541,0.0577352
476,BLOCK2,163318,0.0550864
477,BLOCK2,171483,0.0577616
478,BLOCK2,180057,0.0555132
479,BLOCK2,189059,0.0698702
480,BLOCK2,198511,0.0638672
481,BLOCK2,208436,0.0670756
482,BLOCK2,218857,0.07573540000000001
483,BLOCK2,229799,0.07274359999999999
484,BLOCK2,241288,0.08105359999999999
485,BLOCK2,253352,0.0861712
486,BLOCK2,266019,0.0914852
487,BLOCK2,279319,0.093872
488,BLOCK2,293284,0.0995326
489,BLOCK2,307948,0.099162
490,BLOCK2,323345,0.1237042
491,BLOCK2,339512,0.11991099999999999
492,BLOCK2,356487,0.11774719999999998
493,BLOCK2,374311,0.1498956
494,BLOCK2,393026,0.128674
495,BLOCK2,412677,0.1370836
496,BLOCK2,433310,0.1483212
497,BLOCK2,454975,0.153064
498,BLOCK2,477723,0.1481704
499,BLOCK2,501609,0.1695334
500,BLOCK2,526689,0.2065038
501,BLOCK2,553023,0.1845316
502,BLOCK2,580674,0.1883246
503,BLOCK2,609707,0.200065
504,BLOCK2,640192,0.2158912
505,BLOCK2,672201,0.24657520000000002
506,BLOCK2,705811,0.21106180000000002
507,BLOCK2,741101,0.2313482
508,BLOCK2,778156,0.31655540000000004
509,BLOCK2,817063,0.2529754
510,BLOCK2,857916,0.3100104
511,BLOCK2,900811,0.28821599999999997
512,BLOCK2,945851,0.3444172
513,BLOCK2,993143,0.3424968
514,BLOCK2,1042800,0.3474716
515,BLOCK2,1094940,0.3567478
516,BLOCK2,1149687,0.3587516
517,BLOCK2,1207171,0.3869068
518,BLOCK2,1267529,0.39064
519,BLOCK2,1330905,0.4564088
520,BLOCK2,1397450,0.497543
521,BLOCK2,1467322,0.44986820000000005
522,BLOCK2,1540688,0.4898682
523,BLOCK2,1617722,0.5330820000000001
524,BLOCK2,1698608,0.5213578
525,BLOCK2,1783538,0.6603728
526,BLOCK2,1872714,0.5872404
527,BLOCK2,1966349,0.6682482000000001
528,BLOCK2,2064666,0.6649478
529,BLOCK2,2167899,0.7106201999999999
530,BLOCK2,2276293,0.7517282
531,BLOCK2,2390107,0.7591044
532,BLOCK2,2509612,0.7804226
533,BLOCK2,2635092,0.8235621999999999
534,BLOCK2,2766846,0.8554326
535,BLOCK2,2905188,0.896847
536,BLOCK2,3050447,0.94483
537,BLOCK2,3202969,0.973793
538,BLOCK2,3363117,1.1383184
539,BLOCK2,3531272,1.1345432
540,BLOCK2,3707835,1.1651394
541,BLOCK2,3893226,1.1914672
542,BLOCK2,4087887,1.2457978
543,BLOCK2,4292281,1.30603
544,BLOCK2,4506895,1.3971016
545,BLOCK2,4732239,1.4582494000000001
546,BLOCK2,4968850,1.5463446
547,BLOCK2,5217292,1.7156502
548,BLOCK2,5478156,1.7445903999999999
549,BLOCK2,5752063,1.8906622
550,BLOCK2,6039666,1.8846756
551,BLOCK2,6341649,1.9782148
552,BLOCK2,6658731,2.0628058
553,BLOCK2,6991667,2.1909842
554,BLOCK2,7341250,2.3859192
555,BLOCK2,7708312,2.6528922
556,BLOCK2,8093727,2.6011532
557,BLOCK2,8498413,2.6419255999999995
558,BLOCK2,8923333,2.8536386
559,BLOCK2,9369499,2.9498678000000003
560,BLOCK2,9837973,3.1049841999999996
561,BLOCK2,10329871,3.2081232
562,BLOCK2,10846364,3.524354
563,BLOCK2,11388682,3.6906101999999996
564,BLOCK2,11958116,3.7378082
565,BLOCK2,12556021,4.3159486000000005
566,BLOCK2,13183822,4.1202282
567,BLOCK2,13843013,4.4321088
568,BLOCK2,14535163,4.5432596
569,BLOCK2,15261921,4.7709285999999995
570,BLOCK2,16025017,4.962048
571,BLOCK2,16826267,5.341136199999999
572,BLOCK2,17667580,5.978802
573,BLOCK2,18550958,6.31836
574,BLOCK2,19478505,6.5125148
575,BLOCK2,20452430,6.6074194
576,BLOCK2,21475051,6.9998482
577,BLOCK2,22548803,7.2816034
578,BLOCK2,23676243,7.7891189999999995
579,BLOCK2,24860055,7.8998534000000005
580,BLOCK2,26103057,8.4559268
581,BLOCK2,27408209,8.9525922
582,BLOCK2,28778619,9.0588932
583,BLOCK2,30217549,9.4757252
584,BLOCK2,31728426,10.4719184
585,BLOCK2,33314847,11.131394
586,BLOCK2,34980589,11.316367
587,BLOCK2,36729618,11.6688972
588,BLOCK2,38566098,12.367112
589,BLOCK2,40494402,13.029190599999998
590,BLOCK2,42519122,13.876481000000002
591,BLOCK2,44645078,13.9717244
592,BLOCK2,46877331,14.862233600000001
593,BLOCK2,49221197,15.8389624
594,BLOCK2,51682256,17.153332799999998
595,BLOCK2,54266368,17.3265846
596,BLOCK2,56979686,18.7515894
597,BLOCK2,59828670,19.8965422
598,BLOCK2,62820103,19.9850804
599,BLOCK2,65961108,21.1083536
600,BLOCK2,69259163,22.186798
601,BLOCK2,72722121,23.749771799999998
602,BLOCK2,76358227,24.779732799999998
603,BLOCK2,80176138,26.802053
604,BLOCK2,84184944,27.218850800000002
605,BLOCK2,88394191,28.6384734
606,BLOCK2,92813900,29.183272799999997
607,BLOCK2,97454594,32.2508986
608,BLOCK4,10,7.42e-05
609,BLOCK4,15,7.219999999999999e-05
610,BLOCK4,20,6.8e-05
611,BLOCK4,25,0.0001142
612,BLOCK4,30,7e-05
613,BLOCK4,35,7.199999999999999e-05
614,BLOCK4,40,0.0001082
615,BLOCK4,45,0.00012820000000000003
616,BLOCK4,50,0.0001082
617,BLOCK4,55,0.0001502
618,BLOCK4,60,6.6e-05
619,BLOCK4,65,6.220000000000001e-05
620,BLOCK4,70,6.6e-05
621,BLOCK4,75,7.000000000000001e-05
622,BLOCK4,80,6.6e-05
623,BLOCK4,85,6.4e-05
624,BLOCK4,90,8.6e-05
